state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_2025
Andaman & Nicobar Islands,0,0,1612,1630,982,845,1095,0,1798,940,1189,1715,11806
Andhra Pradesh,0,0,243777,453882,340643,327497,140116,0,83037,216463,242709,193343,2241467
Arunachal Pradesh,0,0,2953,4258,4121,3399,4119,0,4855,4499,8558,6132,42894
Assam,0,0,59101,105295,52863,39419,51489,0,67023,58620,73768,89046,596624
Bihar,0,0,324179,419994,283915,239119,253037,0,145416,109493,151867,281121,2208141
Chandigarh,0,0,3053,4587,3424,2184,27837,0,2269,1541,2098,2178,49171
Chhattisgarh,0,0,37255,48023,50698,83928,80588,0,51714,65251,155196,311902,884555
Dadra & Nagar Haveli,0,0,945,1320,1467,1112,962,0,2884,434,896,843,10863
Daman & Diu,0,0,770,903,708,435,557,0,643,169,817,497,5499
Delhi,0,0,62172,122032,75023,51352,68606,0,51619,22074,39869,63490,556237
Goa,0,0,4037,4793,4251,2713,2563,0,2224,3540,5326,4797,34244
Gujarat,0,0,167890,163791,212970,206071,250482,0,118712,38561,113238,188940,1460655
Haryana,0,0,68047,89177,61904,55616,122995,0,72625,49932,76018,97353,693667
Himachal Pradesh,0,0,23067,22612,11421,13310,16848,0,13398,25508,38053,27349,191566
Jammu & Kashmir,0,0,35456,36268,36095,38896,48013,0,25443,45318,73520,81340,420349
Jharkhand,0,0,142789,185766,99271,82593,95157,0,69103,40142,67989,93803,876613
Karnataka,0,0,134538,136997,185952,158782,165546,0,93363,77378,109379,183064,1244999
Kerala,0,0,67246,78509,128235,90606,72628,0,49029,32259,49098,80329,647939
Ladakh,0,0,458,438,236,100,127,0,567,327,238,318,2809
Lakshadweep,0,0,198,386,330,221,138,0,142,300,227,284,2226
Madhya Pradesh,0,0,294961,501173,469737,538546,536751,0,214320,111258,188245,345126,3200117
Maharashtra,0,0,300370,282523,300215,339273,453411,0,698647,225372,397550,515351,3512712
Manipur,0,0,5861,8147,8029,5424,52976,0,13613,23843,36778,11794,166465
Meghalaya,0,0,3554,4646,3883,3247,5361,0,2928,5084,4622,3206,36531
Mizoram,0,0,40071,17652,4733,3978,4222,0,4583,3837,2432,4023,85531
Nagaland,0,0,3653,3641,2606,2078,3256,0,3142,4959,4589,4637,32561
Odisha,0,0,123467,130981,136703,134095,153158,0,111945,129537,134403,144304,1198593
Orissa,0,0,1306,1429,1225,887,1484,0,1578,1271,1741,1875,12796
Pondicherry,0,0,1511,1747,2863,2242,2585,0,5995,2491,3538,4074,27046
Punjab,0,0,82015,79601,65415,92330,115529,0,51005,47171,68476,98615,700157
Rajasthan,0,0,170087,146156,127873,197243,357417,0,526827,78770,180653,281721,2066747
Sikkim,0,0,2524,2428,1544,823,1090,0,973,741,1063,746,11932
Tamil Nadu,0,0,343791,214780,222396,193182,166708,0,129406,200714,358966,397310,2227253
Telangana,0,0,73930,64734,95442,113794,100558,0,87842,120980,139741,149476,946497
Tripura,0,0,33715,27603,13829,15530,12805,0,5531,7200,15701,15621,147535
Uttar Pradesh,0,0,746862,859000,703440,522937,902096,0,739376,368471,699396,665527,6207105
Uttarakhand,0,0,24684,33481,26291,25178,35973,0,36521,24328,68303,149682,424441
Uttaranchal,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,0,0,101673,96513,127514,121164,190774,0,120401,66604,92641,123228,1040512
