state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_2025
Andaman & Nicobar Islands,0,0,1338,0,0,438,0,0,1038,681,1569,2182,7246
Andhra Pradesh,0,0,513040,155804,132318,87491,48881,0,269275,239183,402127,447463,2295582
Arunachal Pradesh,0,0,7809,0,0,0,0,0,11035,4835,6674,6092,36445
Assam,0,0,202037,1428,2445,44448,4355,0,203511,133182,171573,249599,1012578
Bihar,0,0,1086699,10192,0,8517,15300,0,1218096,598138,892828,984582,4814352
Chandigarh,0,0,10245,12143,7637,11580,14885,0,5782,3776,7450,9863,83361
Chhattisgarh,0,0,301466,68269,379443,163927,64554,0,212592,149583,272989,392615,2005438
Dadra & Nagar Haveli,0,0,642,0,0,0,1122,0,1256,651,1148,1449,6268
Daman & Diu,0,0,1001,0,0,0,0,0,1235,701,1362,1637,5936
Delhi,0,0,266319,131986,139698,186243,312751,0,85113,52695,108638,155491,1438934
Goa,0,0,7571,0,0,0,0,0,6269,4190,8311,8779,35120
Gujarat,0,0,454378,130821,67427,89482,72610,0,249855,113051,267955,378748,1824327
Haryana,0,0,187263,114481,111319,144532,126593,0,95876,78224,135174,172678,1166140
Himachal Pradesh,0,0,31801,1136,3888,827,1858,0,35488,15827,25098,33291,149214
Jammu & Kashmir,0,0,92244,20528,13108,25589,47713,0,39739,33786,52654,81841,407202
Jharkhand,0,0,558617,3546,0,0,6126,0,221484,121285,237158,252973,1401189
Karnataka,0,0,399295,107081,84681,77760,67238,0,211472,172002,243774,331983,1695286
Kerala,0,0,100850,0,0,0,0,0,117286,119261,183171,224384,744952
Ladakh,0,0,2566,0,0,0,0,0,474,339,777,1579,5735
Lakshadweep,0,0,0,0,0,0,0,0,243,242,303,388,1176
Madhya Pradesh,0,0,663952,263262,203880,336817,181014,0,324691,186050,321843,431429,2912938
Maharashtra,0,0,712202,90731,107102,133381,62436,0,367412,721890,1926129,933320,5054603
Manipur,0,0,31746,0,0,0,0,0,24273,54009,146534,44987,301549
Meghalaya,0,0,39032,0,0,0,0,0,17387,10895,10050,10014,87378
Mizoram,0,0,16997,490,2672,430,2110,0,5238,4457,4974,4538,41906
Nagaland,0,0,10572,0,0,0,0,0,6311,6389,6725,6794,36791
Odisha,0,0,366256,0,0,8622,0,0,194321,134226,172382,207500,1083307
Orissa,0,0,0,0,0,0,0,0,7612,4820,7101,9225,28758
Pondicherry,0,0,4356,453,0,2012,0,0,6120,4248,7197,8377,32763
Punjab,0,0,175372,40724,43206,120896,24839,0,120121,92179,128041,136517,881895
Rajasthan,0,0,1159753,72904,65449,138009,137361,0,293297,166685,346539,437620,2817617
Sikkim,0,0,5503,0,0,0,0,0,5535,1857,3857,3588,20340
Tamil Nadu,0,0,513763,27469,11415,22931,42690,0,364884,248733,481021,499323,2212229
Telangana,0,0,322455,27506,54541,101697,27034,0,279852,233884,298878,284063,1629910
Tripura,0,0,40276,0,0,0,0,0,20827,14678,24982,37250,138013
Uttar Pradesh,0,0,2199725,183385,144904,329067,180864,0,1400225,731759,1523690,1848709,8542328
Uttarakhand,0,0,99949,26726,21938,38194,35002,0,54338,32699,64947,89849,463642
West  Bengal,0,0,660417,101948,110429,186019,73338,0,898835,552575,956924,795891,4336376
