state,age_0_5_2025,age_5_17_2025,adult_18_plus_2025,total_pop_2025
Andaman & Nicobar Islands,6118,13672,361552,381342
Andhra Pradesh,2097167,5092199,80351738,87541104
Arunachal Pradesh,58664,136441,1314541,1509646
Assam,1454820,3007578,29645297,34107695
Bihar,6732945,13462349,98894479,119089773
Chandigarh,19408,42863,1002678,1064949
Chhattisgarh,1326181,2837686,24267938,28431805
Dadra & Nagar Haveli,8453,15607,326524,350583
Daman & Diu,9760,18457,231085,259301
Delhi,1203852,2707738,15948544,19860134
Goa,25893,54327,1385618,1465838
Gujarat,3264535,7010213,57417707,67692455
Haryana,1362202,2947546,24083889,28393637
Himachal Pradesh,211208,475252,6521372,7207832
Jammu & Kashmir,526110,1003929,11914237,13444276
Jharkhand,1882753,3890170,31338727,37111651
Karnataka,2169362,4673312,58040532,64883205
Kerala,948070,2058476,31735758,34742303
Lakshadweep,1002,2221,61249,64473
Madhya Pradesh,3878588,8322716,68995469,81196772
Maharashtra,4494468,9777073,106755616,121027157
Manipur,123022,279645,2713004,3115671
Meghalaya,147719,270612,2818545,3236876
Mizoram,53153,101554,1042346,1197052
Nagaland,82604,196365,1879577,2158546
Odisha,1474660,3268426,39875507,44618594
Pondicherry,27942,60663,1185555,1274160
Punjab,945338,2217403,26356171,29518912
Rajasthan,3445820,7316285,65121015,75883120
Sikkim,22124,63967,580048,666140
Tamil Nadu,1776128,3995634,68539678,74311441
Tripura,165271,352751,3490221,4008243
Uttar Pradesh,9065757,21105907,189821724,219993387
Uttarakhand,458071,1064960,9581977,11105007
West Bengal,2687433,6257626,86712309,95657369
